ID;Nom;Query;place;salaire;Description;competence;url
1;Custom Group Companies New York, NY Full Time;Backend Software Developer/Python;New York;$50.00 - $60.00/Hour;"GREAT OPPORTUNITY FOR BACKEND SOFTWARE DEVELOPER

Located in NYC w/Hybrid schedule! 1+ year Contract position with the possibility of conversion!

Please email resume in a Word document to [ Email address blocked ] - Click here to apply to Backend Software Developer/Python

Please No Corp to Corp or 3rd party agencies! Greencard or USC Only!

You are a highly skilled software engineer who is comfortable working with large volumes of data. You can design and develop complex solutions using modern practices and technologies. You are an eager, self-starting learner who can quickly pick up new technologies.

What you'll do:
Develop RESTful data APIs
Design and build backend integrations using various technologies
Collaborate in an agile team with Product Owners, Scrum Masters, System Architects, other Development Teams and Users.
Who you are:
Proficient with Python
Understands application integration, event driven architecture and building high volume services.
Have experience working with SQL database
Familiar with schema and query optimization
Experience using Docker, Kubernetes or similar container technologies and setting up CI/CD pipelines is a plus.
Experience with GraphQL is a plus
Experience and familiarity with Cloud Architecture is a plus.
Bachelor's Degree in Computer Science or Engineering or equivalent experience
Proficient with Python
Understands application integration, event driven architecture and building high volume services.
Have experience working with SQL database
Familiar with schema and query optimization
Experience using Docker, Kubernetes or similar container technologies and setting up CI/CD pipelines is a plus.
Experience with GraphQL is a plus
Experience and familiarity with Cloud Architecture is a plus.
Bachelor's Degree in Computer Science or Engineering or equivalent experience
Recommended Skills
Api Python (Programming Language) Restful Software Engineering
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 22-00014
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Api', 'Python', '(Programming', 'Language)', 'Restful', 'Software', 'Engineering']];https://www.careerbuilder.com/job/J2W7DB6PQ6Q4YV5TCB1
2;Arevo Group New York, NY Full Time;Senior Python Developer;New York;$120,000 - $160,000/Year;"AREVO Professional Services is a niche boutique IT Solutions Firm specializing in ERP, HRIS, Digital and Project Leadership. AREVO Professional is part of the AREVO Group family of companies.
We have a Fortune 500 Digital Media company seeking to hire a Senior Python Software Developer to join their User Platform team focused on new initiatives for nationwide consumer audience. The User Platform Development team is working to design and implement their next generation implementation of their user management system capable of supporting their entire audience of more than 100 million users.
The User Platform is a polyglot environment utilizing a variety of technologies:
Stack: Python, JavaScript, NoSQL, HTML, .NET, Java, Varnish Configuration Language
Data: REST-like API and Python library interacting with Couchbase, RabbitMQ, Google Pub/Sub, Relational data stores
CI: Jenkins
Environment: Google Cloud Platform; Kubernetes / Docker
As a Developer, you will have the following responsibilities:
Analyze, design, and develop software components for their User management system and downstream APIs including hands on implementation, testing, code reviews, build automation, and documentation
Participate in buy vs. build decisions
Troubleshoot production operational issues as required
Utilize a DevOps toolset including: Scalr, Kubernetes, Docker, Jenkins, Terraform
Ensure coding best practices and test coverage through peer reviewing
Integrate internal as well as third-party web services and components
Consistently follow and continue to help improve processes including source control, deployment and issue tracking
Document solutions to institutionalize knowledge for the development, operational, support, and end user communities
Collaborate with other team members, and cross divisional teams via video conference, phone, in person meetings
A Sr. Developer is expected to work effectively as an autonomous member of their team. As such they are looking for:
Minimum 4 years development and integration experience
2 years experience with Python, Rest APIs, and NoSQL databases
Experience with data driven systems with a solid understanding of database structures, queries and search
Experience debugging and analyzing issues in a complex, service oriented environment
Practical knowledge of software development methodologies
Experience in or general awareness of cloud based technologies like AWS and Google Cloud
Bachelor’s degree expected in a technical discipline, but compensating experience may be considered
Excellent verbal and written communication skills
They’d also be delighted if you have experience with any of the following:
Java / Docker / .NET
JIRA and Confluence
Automated test tools
Developing and deploying applications hosted in Google Cloud Platform
Server Side Performance Engineering
Working with and developing customer relationship management (CRM) systems
Recommended Skills
.Net Framework Api Build Automation Code Review Communication Confluence
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: BHJOB29120_2538
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['.Net', 'Framework', 'Api', 'Build', 'Automation', 'Code', 'Review', 'Communication', 'Confluence']];https://www.careerbuilder.com/job/J3M5G164LQ553R9MJ72
3;New York, NY Full Time;Python developer-Remote;New York;$124,800 - $135,200/Year;"We have a Permanent for Python developer-Remote for our client New York NY . Please let me know if you or any of your friends would be interested in this position.
Position Title:
Python developer-Remote-New York NY
Location : 100% Remote
Duration : Full-time/Permanent
Job Description:
The Senior Software Developer is responsible for the design, development, enhancement, deployment and support of multiple products. The Senior Software Developer will need to have strong technical expertise and be able to work with the business and other IT teams as needed while delivering their projects on time and mentoring other developer s. Full stack MVC experience preferred.
Essential Duties/Responsibilities: (not limited to)
• Create technical specifications based on functional specifications.
• Write code to meet technical specifications.
• Test code and make appropriate modifications.
• Complete appropriate documentation in compliance with all procedures and standards.
• Recommend improvements/modifications to designs.
• Advise Product Managers and non‐technical people on issues as appropriate
• Report progress to managers, project leads, customers and other required parties as appropriate.
• Contributes to and manages small to medium projects.
• Provides guidance and direction to lower‐level developer s.
• Possesses and applies a broad knowledge of the concepts, principles, practices and processes of software development.
• Significant expertise needed to complete complex assignments.
• Ability to visualize, articulate, and solve complex problems and concepts.
• Assignments are broad in nature and require ingenuity and originality.
• Solves complex problems often taking a new perspective using existing solutions.
Required Skills:
• Bachelor's degree in Computer Science or similar technical degree (BSCS, BSEE etc.) required
• At least 5 ‐ 7 years of experience hands on design, development, delivering software to market and support.
• Strong written and communication skills
• Strong understanding of the software development cycle and experience with Agile delivery
• Strong time management and problem‐solving skills.
• Strong development skills with hands on experience and troubleshooting skills.
• Experience troubleshooting and solving complex and large‐scale software problems
• Proficiency in JavaScript, Javascript framework development (preferably AngularJS)
• Proficiency in Python, MySQL, MongoDB, Redis
• Proficient in at least one Python web framework (Django, Pyramid, Flask)
• Proficiency in integrating third party libraries
• Architecting and integrating with RESTful APIs
• DevOps or Linux experience a plus
• Communicate with clients and CSC's on business needs. Ensure solutions meet the acceptance criteria.
• Build prototypes and mockups. Then, get constructive feedback.
• Applied knowledge of object‐oriented programming techniques, methods and structures.
• Applied knowledge of data access and update techniques, methods and structures.
• Applied knowledge of multi‐tier internet application architectures using Microsoft technologies
• Ability to work independently or as part of a larger team
• Ability to rapidly learn and apply new, emerging application development and integration technologies and techniques.
• Ability to communicate clearly and effectively in both verbal and written formats.
• Ability to create and maintain positive, productive working relationships with both technical and non‐technical personnel.
• Ability to meet project‐related commitments on time and with the highest standards of quality.
• Experience with Mobile and responsive design would be a plus.
• Prior experience managing a product and team globally/cross culturally
Preferred:
• Backend Java experience
• Full stack MVC experience
 If you are interested in this opportunity, please email your resume at [ Email address blocked ] - Click here to apply to Python developer-Remote and include posting  in your application. also, you can call us at
630-576-1933 and to discuss this position details.
  Recommended Skills
Agile Methodology Angular4 Backend Business Requirements Coaching And Mentoring Data Security
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 21-03009
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Agile', 'Methodology', 'Angular4', 'Backend', 'Business', 'Requirements', 'Coaching', 'And', 'Mentoring', 'Data', 'Security']];https://www.careerbuilder.com/job/J2Z4LB6TH2BMWWVKCWL
4;Nigel Frank International US New York, NY Contractor;Python Developer;New York;$40.00 - $120.00/Hour;"ETL
Python,
Data
Data transformation
A plus: containers
Cloud not needed: All run in Azure, and will be containerized but AWS /other cloud is fine
EST time zone

6 years or greater with Python
Financial services

A few quick comments based on an initial scan of the resumes:

Pros:
Financial industry experience
ETL experience
Cons:
Broad technology experience when I am looking for more of a Python specialist
Both look to be much more senior than I am looking for, and to have many skills that we would not leverage
Experience seems to be mostly using what I consider older ways of doing ETL (e.g. SSIS)
Recommended Skills
Etl Finance Python (Programming Language) Sql Server Integration Services
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 01272022AA
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Etl', 'Finance', 'Python', '(Programming', 'Language)', 'Sql', 'Server', 'Integration', 'Services']];https://www.careerbuilder.com/job/J3V7QP6T3MP69MFMCQZ
5;Michael Page Jersey City, NJ Full Time;Remote Full Stack Software Engineer (python, react) 180k;New Jersey;$150,000 - $180,000/Year;"MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.
Summary
develop new features with the client teams
Maintain and improve the backend systems
Client Details
This client is a leading digital health company. They blend devices with service to help their clients manage their chronic conditions.
Description
Develop new features with the client teams
Maintain and improve the backend systems
Help to scale the systems to accommodate their growing user base
Profile
7 years experience with Backend Development
Good Python and Django experience
Rolled out and supported an application with a good amount of users in production
Docker experience
Job Offer
Competitive base salary
Equity
Benefits
Remote flexibility
Recommended Skills
Backend Django Rest Framework Docker Python (Programming Language)
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: JN -012022-4575768
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Backend', 'Django', 'Rest', 'Framework', 'Docker', 'Python', '(Programming', 'Language)']];https://www.careerbuilder.com/job/J3M7FR7777LNRV2FB21
6;Michael Page New York, NY Full Time;Remote Backend Engineer (Python, Django, Docker);New York;$150,000 - $180,000/Year;"MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.
Summary
Develop new features with the client teams
Maintain and improve the backend systems
Client Details
This client is a leading digital health company. They blend devices with service to help their clients manage their chronic conditions.
Description
Develop new features with the client teams
Maintain and improve the backend systems
Help to scale the systems to accommodate their growing user base
Profile
7 years experience with Backend Development
Good Python and Django experience
Rolled out and supported an application with a good amount of users in production
Docker experience
Job Offer
Competitive base salary
Equity
Benefits
Remote flexibility
Recommended Skills
Backend Django Rest Framework Docker Python (Programming Language)
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: JN -112021-4535917
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Backend', 'Django', 'Rest', 'Framework', 'Docker', 'Python', '(Programming', 'Language)']];https://www.careerbuilder.com/job/J3W86X63BT383L1S2WK
7;Robert Half Woodbridge Township, NJ Full Time;Python Developer;New Jersey;$105,000 - $115,000/Year;"Ref ID: 02720-0012010992

Classification: Software Developer

Compensation: $105000.00 to $115000.00 yearly

Are you a talented detail oriented with a demonstrated ability to communicate effectively? You could work with Robert Half if you apply for this full-time Software Developer opening today. If you can implement new features, maintain existing code, and refactor existing code across a breadth of products used both internally and externally at the company, this Software Developer job might be for you. This Software Developer role will be located in the Woodbridge, New Jersey area and will be a full-time position. Apply immediately!

Responsibilities

- If you're looking for work where you can maintain and develop new features to internal and external facing software to enhance the customer experience and resolve issues on various operating systems, this job might be for you

- Provide clear and consistent communication around solutions and time estimate to client-facing program management teams

- Consistently enact code-review and join up with other developers

- Rectify and produce production support

- Do business with Scrum team to submit meticulous work estimates
•     3+ years of data or relevant engineering experience building and supporting APIs and microservice architecture using Python and SQL •     2+ years of working with Django, Flask, or a similar framework •     2+ years of using Git for source code version control •     doit être autorisé à travailler au Canada+ years of experience with modern web services architectures, Cloud Platform (Google Cloud, AWS, Docker, Kubernetes etc) •     doit être autorisé à travailler au Canada+ years of experience working with Linux •     doit être autorisé à travailler au Canada+ years of experience working with SQL and NoSQL datastores •     The ability to work effectively in a team environment with a positive “get stuff done” attitude and a passion for software engineering best practices.

Technology Doesn't Change the World, People Do.®
Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.
Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.
Questions? Call your local office at
1.888.490.4429. All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals. Visit [ Link removed ] - Click here to apply to Python Developer for more information.
© 2021 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use.
Recommended Skills
Api Amazon Web Services Cloud Platform System Customer Experience Django Rest Framework Docker
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 02720-0012010992
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Api', 'Amazon', 'Web', 'Services', 'Cloud', 'Platform', 'System', 'Customer', 'Experience', 'Django', 'Rest', 'Framework', 'Docker']];https://www.careerbuilder.com/job/J3N3BM6PKJC2ZRBV4CW
8;Custom Group Companies New York, NY Full Time;API Developer;New York;$50.00 - $65.00/Hour;"GREAT OPPORTUNITY FOR API DEVELOPER!

Located in NYC w/Hybrid Schedule! 1+ year Contract position with the possibility of conversion!
Please email resume in a Word document to [ Email address blocked ] - Click here to apply to API Developer
Please No Corp to Corp or 3rd party agencies! Greencard or USC Only!

You are a highly skilled software engineer who is comfortable working with large volumes of data. You can design and develop complex solutions using modern practices and technologies. You are an eager, self-starting learner who can quickly pick up new technologies.

What you'll do:
Develop RESTful data APIs
Design and build backend integrations using various technologies
Collaborate in an agile team with Product Owners, Scrum Masters, System Architects, other Development Teams and Users.
Who you are:
Proficient with Python
Understands application integration, event driven architecture and building high volume services.
Have experience working with SQL database
Familiar with schema and query optimization
Experience using Docker, Kubernetes or similar container technologies and setting up CI/CD pipelines is a plus.
Experience with GraphQL is a plus
Experience and familiarity with Cloud Architecture is a plus.
Bachelor's Degree in Computer Science or Engineering or equivalent experience
Proficient with Python
Understands application integration, event driven architecture and building high volume services.
Have experience working with SQL database
Familiar with schema and query optimization
Experience using Docker, Kubernetes or similar container technologies and setting up CI/CD pipelines is a plus.
Experience with GraphQL is a plus
Experience and familiarity with Cloud Architecture is a plus.
Bachelor's Degree in Computer Science or Engineering or equivalent experience
Recommended Skills
Api Docker Python (Programming Language)
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 22-00014S
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Api', 'Docker', 'Python', '(Programming', 'Language)']];https://www.careerbuilder.com/job/J2W24575SJP4YRC4DW4
9;Brooksource Woodbridge Township, NJ;Site Reliability Engineer | Automation Engineer;New Jersey;$80.00 - $90.00/Hour;"Site Reliability Engineer | Automation Engineer
Home office in Iselin, NJ or Charlotte, NC
We are seeking a Site Reliability Engineer within the Digital Distribution and Mobile Technology group at our Fortune 100 Financial Services client.
As a team member with this client, you will be joining a Scaled Agile (SAFe) environment. This is the ideal opportunity for a fast-paced engineer who wants to play an integral role within a highly visible team. This individual should be an avid problem-solver who is passionate about modernizing systems and is looking for an opportunity grow within this established team for years to come.
Responsibilities:
Scale systems sustainably through mechanisms like automation, and evolve systems by pushing for changes that improve reliability and velocity.
Support the application CI/CD pipeline for promoting software into higher environments through validation and operational gating, and lead TIAA in DevOps automation and best practices.
Practice sustainable incident response and blameless postmortems.
Take a holistic approach to problem solving, by connecting the dots during a production event thru the various technology stack that makes up the platform, to optimize mean time to recover
Engage in and improve the whole lifecycle of services—from inception and design, through deployment, operation and refinement.
Analyze ITSM activities of the platform and provide feedback loop to development teams on operational gaps or resiliency concerns
Support services before they go live through activities such as system design consulting, capacity planning and launch reviews.
Maintain services once they are live by measuring and monitoring availability, latency and overall system health.
Work with a global team spread across tech hubs in multiple geographies and time zones
Share knowledge and mentor junior resources
Design, implement, and enhance our deployment automation based on Chef. We need proven experience writing chef recipes/cookbooks as well as designing and implementing an overall Chef based release and deployment process.
Support deployments of code into multiple lower environments. Supporting current processes needed with an emphasis on automating everything as soon as possible.
Design and implement a Git based code management strategy that will support multiple environment deployments in parallel. Experience with automation for branch management, code promotions, and version management is a plus.
Required Skills:
BS degree in Computer Science or related technical field involving coding or equivalent practical experience.
Experience with algorithms, data structures, scripting, pipeline management, and software design.
Systematic problem-solving approach, coupled with strong communication skills and a sense of ownership and drive.
Ability to help debug and optimize code and automate routine tasks.
We support many different stakeholders. Experience in dealing with difficult situations and making decisions with a sense of urgency is needed.
Experience in one or more of the following is preferred: C, C++, Java, Python, Go, Perl or Ruby.
Interest in designing, analyzing and troubleshooting large-scale distributed systems.
We need team members with an appetite for change and pushing the boundaries of what can be done with automation.
Experience in working across development, operations, and product teams to prioritize needs and to build relationships is a must.
Strong verbal and written communication skills.
Coordinate failure analysis of reliability devices
Utilized for reliability data analysis
Attend routine reliability team meetings, maintain reliability data
Improving equipment and plant reliability
Compare theoretical system reliability metrics to actual reliability metrics
View the reliability requirements and role in improving reliability
Improve the reliability tools and methods utilized inincreasing plant reliability
Ensure maintainability and reliability ii
Process equipment for reliability capability
Maintaining equipment to increase reliability
Report the reliability test result and failure
Enhance product reliability and quality
Use understanding of various reliability tests to assess reliability capability
Identify product and reliability requirements
Ensuring historical product reliability programs
Assure reliability performance of products
Ensure new product reliability and maintainability
Improve the reliability tools and methods utilized in increasing plant reliability
Measure the system's reliability
Improve functional performance and reliability
Recommended Skills
Automation Cloud Computing Containerization Production Support Python (Programming Language) Shell Script
Help us improve CareerBuilder by providing feedback about this job:
Report this job
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Automation', 'Cloud', 'Computing', 'Containerization', 'Production', 'Support', 'Python', '(Programming', 'Language)', 'Shell', 'Script']];https://www.careerbuilder.com/job/J4R4CD5VV02DNRM32VW
10;Robert Half New York, NY Full Time;Applications Architect;New York;$185,000 - $210,000/Year;"Ref ID: 02310-0012098974

Classification: Applications Architect

Compensation: $185000.00 to $210000.00 yearly

A super growth technology company is looking to add a talented Principal Engineer / Architect to the team to help oversee the standardization across all technology platforms. The company has seen tremendous grown (doubling every year). Be the go to for overall architect, review, and design.

Tech stack:
Need someone backend oriented. Strong in Python/AWS.

Must have extensive AWS experience

Dev is in Python, but expertise in any language is great.

Nice to haves: Containers (Docker / Kubernetes), Microservices, serverless technology, knowledge of Site Reliability

Serverless Arch or Microservices base on serverless
Python & Lambda (lambda serverless on AWS)
FE - React
Mid - graphQL
DB - Postgres & Dynamo
SMS & SQS - Used for an event-driven arch to share data between microservices
Amazon Web Services (AWS), Python, React


Technology Doesn't Change the World, People Do.®
Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.
Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.
Questions? Call your local office at
1.888.490.4429. All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals. Visit [ Link removed ] - Click here to apply to Applications Architect for more information.
© 2021 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use.
Recommended Skills
Backend Docker Microservices Python (Programming Language) Reliability Amazon Web Services
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 02310-0012098974
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Backend', 'Docker', 'Microservices', 'Python', '(Programming', 'Language)', 'Reliability', 'Amazon', 'Web', 'Services']];https://www.careerbuilder.com/job/J3W5L96V4BQTWL7TPV5
